coach,seasons,is_active,games,wins,losses,ties,playoff_births,games_playoff,wins_playoff,losses_playoff,ties_playoff,games_superbowl,wins_superbowl,ats_pct,ats_return,ats_risked,avg_pf,avg_pa,avg_margin,avg_spread,ats_pct_home,ats_pct_away,ats_pct_playoff,ats_pct_favorite,ats_pct_underdog,ats_pct_div,ats_pct_non_div,ats_pct_bye,ats_pct_dome,ats_roi,win_pct,win_pct_playoff,teams,pfr_coach_image_url,pfr_coach_tree_hired_by,pfr_coach_tree_hired
Mike Holmgren,17,0,296.0,174.0,122.0,0,12.0,24.0,13.0,11.0,0.0,3.0,1.0,0.4662576687116564,-19.700000000000006,187.00000000000003,22.3,21.288235,1.0117648,-1.0088235,0.5061728395061729,0.4268292682926829,0.5555555555555556,0.46153846153846156,0.4647887323943662,0.4696969696969697,0.4639175257731959,0.15384615384615385,0.4074074074074074,-0.10534759358288771,0.5878378378378378,0.5416666666666666,"['{""team"" : ""SEA"", ""color"" : ""#002244""}']",https://www.pro-football-reference.com/req/20230307/images/headshots/HolmMi0c_2017.jpg,"SeifGe0,WalsBi0","GrudJo0,JaurDi0,MariSt0,MoraJi1,MornMa0,ReidAn0,RhodRa0,SherMi0,ZornJi0"
Joe Gibbs,16,0,272.0,171.0,101.0,0,10.0,24.0,17.0,7.0,0.0,4.0,3.0,0.49206349206349204,-4.200000000000003,73.7,19.119404,19.537313,-0.41791046,0.7910448,0.5,0.48484848484848486,0.3333333333333333,0.4827586206896552,0.5,0.5217391304347826,0.475,0.75,0.7142857142857143,-0.05698778833107195,0.6286764705882353,0.7083333333333334,"['{""team"" : ""WAS"", ""color"" : ""#5A1414""}']",https://www.pro-football-reference.com/req/20230307/images/headshots/GibbJo0c_2017.jpg,"CoryDo0,McKaJo0","BugeJo0,DowhRo0,HaniJi0,HennDa0,PetiRi0,SaunAl0,SmitAr0,SpagSt0,ThomEm0,WilkSt0,WillGr0"
Bud Grant,18,0,281.0,168.0,108.0,5,12.0,22.0,10.0,12.0,0.0,4.0,0.0,,,,,,,,,,,,,,,,,,0.597864768683274,0.45454545454545453,,https://www.pro-football-reference.com/req/20230307/images/headshots/GranBu00_USAT_1978.jpg,,"ArmsNe0,BurnJe0,CarrPe0,HollBo0,PateJa0,RyanBu0,StecLe0,TresMa0,WiggPa0"
Bill Cowher,15,0,261.0,161.0,99.0,1,10.0,21.0,12.0,9.0,0.0,2.0,1.0,0.5481481481481482,6.899999999999995,151.8,22.166666,18.144928,4.021739,-2.036232,0.4857142857142857,0.6153846153846154,0.6,0.5056179775280899,0.6304347826086957,0.5573770491803278,0.5405405405405406,0.5454545454545454,0.6,0.04545454545454542,0.6168582375478927,0.5714285714285714,"['{""team"" : ""PIT"", ""color"" : ""#000000""}']",,SchoMa0,"AriaBr0,CapeDo0,CullDa0,ErhaRo0,GailCh0,GilbKe0,HaslJi0,LeBeDi0,LewiMa0,MulaMi0,WhisKe0"
Steve Owen,24,0,280.0,155.0,108.0,17,10.0,10.0,2.0,8.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.5535714285714286,0.2,,,DevoHu0,"PalmMi0,SherAl0"
Marv Levy,17,0,274.0,154.0,120.0,0,8.0,19.0,11.0,8.0,0.0,4.0,0.0,,,,,,,,,,,,,,,,,,0.5620437956204379,0.5789473684210527,,https://www.pro-football-reference.com/req/20230307/images/headshots/LevyMa0c_2017.jpg,"AlleGe0,WillJe0","GanzFr0,HennDa0,MarcTe0,PhilWa0,RingJi0,RossBo0,RustRo0,ShofJi0"
Tony Dungy,13,0,227.0,148.0,79.0,0,11.0,19.0,9.0,10.0,0.0,1.0,1.0,0.5380116959064327,5.0999999999999925,194.70000000000002,24.485876,18.723164,5.762712,-4.1920905,0.5287356321839081,0.5476190476190477,0.47058823529411764,0.5259259259259259,0.6,0.46875,0.5794392523364486,0.3333333333333333,0.5324675324675324,0.026194144838212596,0.6519823788546255,0.47368421052631576,"['{""team"" : ""IND"", ""color"" : ""#002C5F""}', '{""team"" : ""TB"", ""color"" : ""#A71930""}']",,"GreeDe0,NollCh0,SchoMa0","CaldJi0,EdwaHe0,FrazLe0,MariRo0,ReicFr0,SmitLo0,StecLe0,TomlMi0"
John Fox,16,0,271.0,141.0,130.0,0,7.0,15.0,8.0,7.0,0.0,2.0,0.0,0.5169811320754717,-3.8000000000000114,298.1,21.667896,21.442804,0.22509225,-0.15867159,0.4621212121212121,0.5714285714285714,0.5333333333333333,0.484375,0.5378787878787878,0.5684210526315789,0.48823529411764705,0.45454545454545453,0.5909090909090909,-0.012747400201274777,0.5202952029520295,0.5333333333333333,"['{""team"" : ""CAR"", ""color"" : ""#0085CA""}', '{""team"" : ""DEN"", ""color"" : ""#002244""}', '{""team"" : ""CHI"", ""color"" : ""#0B162A""}']",https://www.pro-football-reference.com/req/20230307/images/headshots/FoxxJo0c_2017.jpg,"BrooRi0,CampDa1,FassJi0,NollCh0,ReicFr0,RossBo0,ShelAr0,WhitMi0","AlleDe0,CallBr0,DelRJa0,FangVi0,GaseAd0,HennDa0,McCoMi1,StalBr0,StudEr0,WillRi0"
Hank Stram,17,0,246.0,136.0,100.0,10,5.0,8.0,5.0,3.0,0.0,2.0,1.0,,,,,,,,,,,,,,,,,,0.5528455284552846,0.625,,https://www.pro-football-reference.com/req/20230307/images/headshots/StraHa0c_2017.jpg,,"BettTo0,KotiRi0,NolaDi0,RutiSa0,StanDi0"
Weeb Ewbank,20,0,271.0,134.0,130.0,7,4.0,5.0,4.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,0.4944649446494465,0.8,,https://www.pro-football-reference.com/req/20230307/images/headshots/EwbaWe0c_2017.jpg,BrowPa0,"BallHe0,BileEd0,DaviAl0,HoloMi0,McCaDo0,MeyeKe0,MichWa0,RyanBu0,SandJo0,ShipKe0,ThomJo0,WinnCh0"
