,coach,games,seasons,wins,losses,ties,playoff_births,games_playoff,wins_playoff,losses_playoff,games_superbowl,wins_superbowl
60,Potsy Clark,119.0,10,65.0,42.0,12,1.0,1.0,1.0,0.0,0.0,0.0
61,Wally Lemm,138.0,10,65.0,66.0,7,3.0,3.0,1.0,2.0,0.0,0.0
62,Greasy Neale,115.0,10,66.0,44.0,5,3.0,4.0,3.0,1.0,0.0,0.0
63,Jerry Glanville,136.0,9,63.0,73.0,0,4.0,7.0,3.0,4.0,0.0,0.0
64,Guy Chamberlin,81.0,6,58.0,16.0,7,0.0,0.0,0.0,0.0,0.0,0.0
65,Jim Fassel,33.0,2,18.0,14.0,1,1.0,1.0,0.0,1.0,0.0,0.0
66,Joe Kuharich,142.0,11,58.0,81.0,3,0.0,0.0,0.0,0.0,0.0,0.0
67,Allie Sherman,115.0,8,57.0,54.0,4,3.0,3.0,0.0,3.0,0.0,0.0
68,Art Shell,97.0,6,56.0,41.0,0,3.0,5.0,2.0,3.0,0.0,0.0
69,Buddy Ryan,114.0,7,55.0,58.0,1,3.0,3.0,0.0,3.0,0.0,0.0
70,Ron Meyer,106.0,9,54.0,52.0,0,2.0,2.0,0.0,2.0,0.0,0.0
71,Jim Lee Howell,88.0,7,55.0,29.0,4,3.0,4.0,2.0,2.0,0.0,0.0
72,Joe Walton,114.0,7,54.0,59.0,1,2.0,3.0,1.0,2.0,0.0,0.0
73,Jerry Burns,101.0,6,55.0,46.0,0,3.0,6.0,3.0,3.0,0.0,0.0
74,Mike Holovak,110.0,9,53.0,48.0,9,1.0,2.0,1.0,1.0,0.0,0.0
75,Bart Starr,133.0,9,53.0,77.0,3,1.0,2.0,1.0,1.0,0.0,0.0
76,Roy Andrews,82.0,8,51.0,27.0,4,0.0,0.0,0.0,0.0,0.0,0.0
77,Monte Clark,121.0,8,51.0,69.0,1,2.0,2.0,0.0,2.0,0.0,0.0
78,Leeman Bennett,123.0,8,51.0,72.0,0,3.0,4.0,1.0,3.0,0.0,0.0
79,Raymond Berry,92.0,6,51.0,41.0,0,2.0,5.0,3.0,2.0,1.0,0.0
80,Dom Capers,66.0,4,31.0,35.0,0,1.0,2.0,1.0,1.0,0.0,0.0
81,Ken Whisenhunt,-9.0,0,-2.0,-7.0,0,0.0,0.0,0.0,0.0,0.0,0.0
82,Bruce Coslet,106.0,7,43.0,63.0,0,1.0,1.0,0.0,1.0,0.0,0.0
83,Sam Rutigliano,99.0,7,47.0,52.0,0,2.0,2.0,0.0,2.0,0.0,0.0
84,Chuck Fairbanks,87.0,6,46.0,41.0,0,2.0,2.0,0.0,2.0,0.0,0.0
85,Nick Skorich,100.0,7,45.0,50.0,5,2.0,2.0,0.0,2.0,0.0,0.0
86,Ray Malavasi,91.0,6,47.0,44.0,0,3.0,6.0,3.0,3.0,1.0,0.0
87,John McKay,137.0,9,45.0,91.0,1,3.0,4.0,1.0,3.0,0.0,0.0
88,Charley Winner,93.0,7,44.0,44.0,5,0.0,0.0,0.0,0.0,0.0,0.0
89,Joe Schmidt,85.0,6,43.0,35.0,7,1.0,1.0,0.0,1.0,0.0,0.0
90,Ray Perkins,119.0,8,43.0,76.0,0,1.0,2.0,1.0,1.0,0.0,0.0
91,Dennis Erickson,64.0,4,31.0,33.0,0,0.0,0.0,0.0,0.0,0.0,0.0
92,Rich Kotite,98.0,6,41.0,57.0,0,1.0,2.0,1.0,1.0,0.0,0.0
93,Red Miller,67.0,4,42.0,25.0,0,3.0,5.0,2.0,3.0,1.0,0.0
94,John Rauch,74.0,5,42.0,30.0,2,2.0,4.0,2.0,2.0,1.0,0.0
95,Barry Switzer,71.0,4,45.0,26.0,0,3.0,7.0,5.0,2.0,1.0,1.0
96,Jim Hanifan,94.0,7,39.0,54.0,1,1.0,1.0,0.0,1.0,0.0,0.0
97,Walt Michaels,91.0,6,41.0,49.0,1,2.0,4.0,2.0,2.0,0.0,0.0
98,Dan Henning,112.0,7,38.0,73.0,1,0.0,0.0,0.0,0.0,0.0,0.0
99,Ray Rhodes,67.0,4,30.0,36.0,1,2.0,3.0,1.0,2.0,0.0,0.0
100,Lindy Infante,97.0,6,36.0,61.0,0,1.0,1.0,0.0,1.0,0.0,0.0
101,Mike Mularkey,9.0,1,2.0,7.0,0,0.0,0.0,0.0,0.0,0.0,0.0
102,Jack Patera,94.0,7,35.0,59.0,0,0.0,0.0,0.0,0.0,0.0,0.0
103,Tommy Prothro,88.0,7,35.0,51.0,2,0.0,0.0,0.0,0.0,0.0,0.0
104,Marion Campbell,115.0,9,34.0,80.0,1,0.0,0.0,0.0,0.0,0.0,0.0
105,Chan Gailey,17.0,1,10.0,7.0,0,1.0,1.0,0.0,1.0,0.0,0.0
106,Tommy Hughitt,56.0,5,34.0,15.0,7,0.0,0.0,0.0,0.0,0.0,0.0
107,John Ralston,70.0,5,34.0,33.0,3,0.0,0.0,0.0,0.0,0.0,0.0
108,Dick Rauch,60.0,5,33.0,24.0,3,0.0,0.0,0.0,0.0,0.0,0.0
109,Pop Ivy,77.0,6,32.0,43.0,2,1.0,1.0,0.0,1.0,0.0,0.0
110,Paddy Driscoll,54.0,5,31.0,18.0,5,1.0,1.0,0.0,1.0,0.0,0.0
111,Jim Mora,-50.0,-3,-29.0,-21.0,0,-2.0,-2.0,0.0,-2.0,0.0,0.0
